country,country_code_3_digit,country_code_2_digit,population,confirmed cases_counts,deaths_counts,source,reported_date
Russia,RUS,RU,145934460,8849,127,"Epidemic intelligence, national daily data",2020-05-22
Germany,DEU,DE,83019213,2089,11,"Epidemic intelligence, national daily data",2020-09-29
Greece,GRC,EL,10724599,56,4,"Epidemic intelligence, national daily data",2020-04-11
Croatia,HRV,HR,4076246,91,1,"Epidemic intelligence, national daily data",2020-03-28
Malta,MLT,MT,493559,6,0,"Epidemic intelligence, national daily data",2020-04-14
Andorra,AND,AD,76177,0,0,"Epidemic intelligence, national daily data",2020-02-05
Bosnia and Herzegovina,BIH,BA,3280815,58,0,"Epidemic intelligence, national daily data",2020-06-19
Belarus,BLR,BY,9449321,0,0,"Epidemic intelligence, national daily data",2020-02-25
Iceland,ISL,IS,356991,0,0,"Epidemic intelligence, national daily data",2020-05-20
Latvia,LVA,LV,1919968,12,1,"Epidemic intelligence, national daily data",2020-05-02
Poland,POL,PL,37972812,371,15,"Epidemic intelligence, national daily data",2020-07-03
Belgium,BEL,BE,11455519,634,3,"Epidemic intelligence, national daily data",2020-09-01
Czechia,CZE,CZ,10649800,0,0,"Epidemic intelligence, national daily data",2020-02-04
Malta,MLT,MT,493559,68,2,"Epidemic intelligence, national daily data",2020-10-13
Denmark,DNK,DK,5806081,435,0,"Epidemic intelligence, national daily data",2020-09-29
Latvia,LVA,LV,1919968,6,1,"Epidemic intelligence, national daily data",2020-04-08
Austria,AUT,AT,8858775,143,0,"Epidemic intelligence, national daily data",2020-03-14
Malta,MLT,MT,493559,13,0,"Epidemic intelligence, national daily data",2020-04-17
Luxembourg,LUX,LU,613894,109,0,"Epidemic intelligence, national daily data",2020-10-14
Portugal,PRT,PT,10276617,0,0,"Epidemic intelligence, national daily data",2020-01-29
Albania,ALB,AL,2862427,23,0,"Epidemic intelligence, national daily data",2020-05-31
Andorra,AND,AD,76177,0,0,"Epidemic intelligence, national daily data",2020-05-28
Azerbaijan,AZE,AZ,10139175,43,0,"Epidemic intelligence, national daily data",2020-04-04
Montenegro,MNE,ME,622182,296,8,"Epidemic intelligence, national daily data",2020-09-23
Serbia,SRB,RS,6963764,83,1,"Epidemic intelligence, national daily data",2020-09-25
Armenia,ARM,AM,2963234,39,0,"Epidemic intelligence, national daily data",2020-04-01
North Macedonia,MKD,MK,2077132,30,3,"Epidemic intelligence, national daily data",2020-05-18
Slovakia,SVK,SK,5450421,41,0,"Epidemic intelligence, national daily data",2020-03-22
Lithuania,LTU,LT,2794184,58,3,"Epidemic intelligence, national daily data",2020-04-17
Austria,AUT,AT,8858775,661,6,"Epidemic intelligence, national daily data",2020-09-24
Liechtenstein,LIE,LI,38378,0,0,"Epidemic intelligence, national daily data",2020-07-23
Malta,MLT,MT,493559,0,0,"Epidemic intelligence, national daily data",2020-02-10
Norway,NOR,NO,5328212,29,4,"Epidemic intelligence, national daily data",2020-05-13
San Marino,SMR,SM,34453,0,0,"Epidemic intelligence, national daily data",2020-09-17
Italy,ITA,IT,60359546,518,85,"Epidemic intelligence, national daily data",2020-06-06
Greece,GRC,EL,10724599,42,3,"Epidemic intelligence, national daily data",2020-04-30
Portugal,PRT,PT,10276617,350,14,"Epidemic intelligence, national daily data",2020-05-30
Switzerland,CHE,CH,8544527,103,16,"Epidemic intelligence, national daily data",2020-04-28
Slovenia,SVN,SI,2080908,203,0,"Epidemic intelligence, national daily data",2020-10-01
Norway,NOR,NO,5328212,10,1,"Epidemic intelligence, national daily data",2020-07-01
Portugal,PRT,PT,10276617,371,35,"Epidemic intelligence, national daily data",2020-04-24
the Holy See/ Vatican City State,VAT,VA,809,0,0,"Epidemic intelligence, national daily data",2020-03-15
Liechtenstein,LIE,LI,38378,0,0,"Epidemic intelligence, national daily data",2020-10-11
Lithuania,LTU,LT,2794184,0,0,"Epidemic intelligence, national daily data",2020-01-30
Slovenia,SVN,SI,2080908,0,0,"Epidemic intelligence, national daily data",2020-05-31
San Marino,SMR,SM,34453,0,0,"Epidemic intelligence, national daily data",2020-01-21
Italy,ITA,IT,60359546,97,4,"Epidemic intelligence, national daily data",2020-02-25
Norway,NOR,NO,5328212,270,10,"Epidemic intelligence, national daily data",2020-04-03
Bosnia and Herzegovina,BIH,BA,3280815,453,5,"Epidemic intelligence, national daily data",2020-10-09
Croatia,HRV,HR,4076246,140,1,"Epidemic intelligence, national daily data",2020-07-12
Spain,ESP,ES,46937060,564,3,"Epidemic intelligence, national daily data",2020-06-27
France,FRA,FR,67012883,1404,69,"Epidemic intelligence, national daily data",2020-03-19
Malta,MLT,MT,493559,38,0,"Epidemic intelligence, national daily data",2020-09-19
Belarus,BLR,BY,9449321,0,0,"Epidemic intelligence, national daily data",2020-01-28
Netherlands,NLD,NL,17282163,887,123,"Epidemic intelligence, national daily data",2020-04-24
Slovakia,SVK,SK,5450421,0,0,"Epidemic intelligence, national daily data",2020-02-10
the Holy See/ Vatican City State,VAT,VA,809,0,0,"Epidemic intelligence, national daily data",2020-05-13
Belgium,BEL,BE,11455519,2402,25,"Epidemic intelligence, national daily data",2020-10-12
Germany,DEU,DE,83019213,815,10,"Epidemic intelligence, national daily data",2020-07-24
Kosovo,,,1798506,53,1,"Epidemic intelligence, national daily data",2020-06-14
Jersey,JEY,JE,107796,0,0,"Epidemic intelligence, national daily data",2020-01-09
Romania,ROU,RO,19414458,889,21,"Epidemic intelligence, national daily data",2020-07-19
Belarus,BLR,BY,9449321,0,0,"Epidemic intelligence, national daily data",2020-03-10
Armenia,ARM,AM,2963234,354,10,"Epidemic intelligence, national daily data",2020-07-31
Switzerland,CHE,CH,8544527,76,4,"Epidemic intelligence, national daily data",2020-05-05
Netherlands,NLD,NL,17282163,44,0,"Epidemic intelligence, national daily data",2020-03-06
Estonia,EST,EE,1324820,0,0,"Epidemic intelligence, national daily data",2020-02-02
Isle of Man,,,85032,0,0,"Epidemic intelligence, national daily data",2020-05-25
Moldova,MDA,MD,4033963,69,1,"Epidemic intelligence, national daily data",2020-05-04
Monaco,MCO,MC,33085,0,0,"Epidemic intelligence, national daily data",2020-02-09
Malta,MLT,MT,493559,0,0,"Epidemic intelligence, national daily data",2020-02-25
Estonia,EST,EE,1324820,8,0,"Epidemic intelligence, national daily data",2020-07-10
Ireland,IRL,IE,4904240,57,2,"Epidemic intelligence, national daily data",2020-05-25
Moldova,MDA,MD,4033963,624,7,"Epidemic intelligence, national daily data",2020-08-27
Guernsey,GGY,GG,64468,0,0,"Epidemic intelligence, national daily data",2020-09-05
San Marino,SMR,SM,34453,0,0,"Epidemic intelligence, national daily data",2020-08-25
Romania,ROU,RO,19414458,145,11,"Epidemic intelligence, national daily data",2020-05-24
Denmark,DNK,DK,5806081,121,1,"Epidemic intelligence, national daily data",2020-08-07
Estonia,EST,EE,1324820,8,0,"Epidemic intelligence, national daily data",2020-07-09
Italy,ITA,IT,60359546,214,12,"Epidemic intelligence, national daily data",2020-07-10
Austria,AUT,AT,8858775,0,0,"Epidemic intelligence, national daily data",2020-01-02
Georgia,GEO,GE,3989175,1192,8,"Epidemic intelligence, national daily data",2020-10-19
Slovakia,SVK,SK,5450421,92,0,"Epidemic intelligence, national daily data",2020-09-17
Georgia,GEO,GE,3989175,508,5,"Epidemic intelligence, national daily data",2020-10-08
Greece,GRC,EL,10724599,8,0,"Epidemic intelligence, national daily data",2020-07-06
Croatia,HRV,HR,4076246,14,1,"Epidemic intelligence, national daily data",2020-04-27
Albania,ALB,AL,2862427,6,0,"Epidemic intelligence, national daily data",2020-06-02
North Macedonia,MKD,MK,2077132,134,13,"Epidemic intelligence, national daily data",2020-09-16
Lithuania,LTU,LT,2794184,12,2,"Epidemic intelligence, national daily data",2020-04-24
Luxembourg,LUX,LU,613894,108,2,"Epidemic intelligence, national daily data",2020-04-11
Ukraine,UKR,UA,43733759,143,7,"Epidemic intelligence, national daily data",2020-04-08
Denmark,DNK,DK,5806081,0,0,"Epidemic intelligence, national daily data",2020-02-25
Denmark,DNK,DK,5806081,83,0,"Epidemic intelligence, national daily data",2020-08-26
Gibraltar,GIB,GI,33691,0,0,"Epidemic intelligence, national daily data",2020-05-06
Sweden,SWE,SE,10230185,1046,28,"Epidemic intelligence, national daily data",2020-06-04
Cyprus,CYP,CY,875899,0,0,"Epidemic intelligence, national daily data",2020-06-17
Serbia,SRB,RS,6963764,247,3,"Epidemic intelligence, national daily data",2020-04-08
Estonia,EST,EE,1324820,0,0,"Epidemic intelligence, national daily data",2020-02-03
Guernsey,GGY,GG,64468,3,0,"Epidemic intelligence, national daily data",2020-10-24
Malta,MLT,MT,493559,6,0,"Epidemic intelligence, national daily data",2020-06-18
Malta,MLT,MT,493559,29,2,"Epidemic intelligence, national daily data",2020-09-30
Montenegro,MNE,ME,622182,128,0,"Epidemic intelligence, national daily data",2020-09-11
Czechia,CZE,CZ,10649800,77,2,"Epidemic intelligence, national daily data",2020-05-24
Azerbaijan,AZE,AZ,10139175,112,0,"Epidemic intelligence, national daily data",2020-08-17
Bosnia and Herzegovina,BIH,BA,3280815,43,2,"Epidemic intelligence, national daily data",2020-06-05
Serbia,SRB,RS,6963764,235,6,"Epidemic intelligence, national daily data",2020-08-12
Finland,FIN,FI,5517919,2,0,"Epidemic intelligence, national daily data",2020-06-03
United Kingdom,GBR,UK,66647112,3586,614,"Epidemic intelligence, national daily data",2020-05-13
Faroes,,,48865,0,0,"Epidemic intelligence, national daily data",2020-01-29
Portugal,PRT,PT,10276617,200,14,"Epidemic intelligence, national daily data",2020-06-02
Switzerland,CHE,CH,8544527,0,0,"Epidemic intelligence, national daily data",2020-02-14
Jersey,JEY,JE,107796,0,0,"Epidemic intelligence, national daily data",2020-09-10
Liechtenstein,LIE,LI,38378,0,0,"Epidemic intelligence, national daily data",2020-01-31
Czechia,CZE,CZ,10649800,282,6,"Epidemic intelligence, national daily data",2020-04-05
Poland,POL,PL,37972812,407,16,"Epidemic intelligence, national daily data",2020-06-17
Lithuania,LTU,LT,2794184,37,0,"Epidemic intelligence, national daily data",2020-08-09
Hungary,HUN,HU,9772756,70,12,"Epidemic intelligence, national daily data",2020-04-22
Latvia,LVA,LV,1919968,89,0,"Epidemic intelligence, national daily data",2020-10-11
United Kingdom,GBR,UK,66647112,579,32,"Epidemic intelligence, national daily data",2020-07-05
Armenia,ARM,AM,2963234,177,3,"Epidemic intelligence, national daily data",2020-09-12
Luxembourg,LUX,LU,613894,11,0,"Epidemic intelligence, national daily data",2020-05-15
Gibraltar,GIB,GI,33691,0,0,"Epidemic intelligence, national daily data",2020-02-01
Montenegro,MNE,ME,622182,0,0,"Epidemic intelligence, national daily data",2020-05-13
Kosovo,,,1798506,141,6,"Epidemic intelligence, national daily data",2020-08-28
Finland,FIN,FI,5517919,41,0,"Epidemic intelligence, national daily data",2020-08-14
Montenegro,MNE,ME,622182,244,2,"Epidemic intelligence, national daily data",2020-10-04
Montenegro,MNE,ME,622182,110,2,"Epidemic intelligence, national daily data",2020-09-05
Belarus,BLR,BY,9449321,161,0,"Epidemic intelligence, national daily data",2020-04-08
Azerbaijan,AZE,AZ,10139175,30,0,"Epidemic intelligence, national daily data",2020-04-24
Latvia,LVA,LV,1919968,12,0,"Epidemic intelligence, national daily data",2020-04-03
Germany,DEU,DE,83019213,239,2,"Epidemic intelligence, national daily data",2020-07-05
Moldova,MDA,MD,4033963,86,2,"Epidemic intelligence, national daily data",2020-04-04
Montenegro,MNE,ME,622182,0,0,"Epidemic intelligence, national daily data",2020-06-09
Guernsey,GGY,GG,64468,0,0,"Epidemic intelligence, national daily data",2020-08-10
Slovenia,SVN,SI,2080908,31,3,"Epidemic intelligence, national daily data",2020-08-13
Ukraine,UKR,UA,43733759,62,2,"Epidemic intelligence, national daily data",2020-03-31
Isle of Man,,,85032,0,0,"Epidemic intelligence, national daily data",2020-10-14
Georgia,GEO,GE,3989175,28,0,"Epidemic intelligence, national daily data",2020-06-15
Greece,GRC,EL,10724599,20,6,"Epidemic intelligence, national daily data",2020-04-07
Ireland,IRL,IE,4904240,44,0,"Epidemic intelligence, national daily data",2020-08-02
Lithuania,LTU,LT,2794184,0,0,"Epidemic intelligence, national daily data",2020-04-15
Belarus,BLR,BY,9449321,115,5,"Epidemic intelligence, national daily data",2020-07-29
Andorra,AND,AD,76177,0,0,"Epidemic intelligence, national daily data",2020-09-23
Montenegro,MNE,ME,622182,0,0,"Epidemic intelligence, national daily data",2020-02-20
Austria,AUT,AT,8858775,757,2,"Epidemic intelligence, national daily data",2020-09-20
Jersey,JEY,JE,107796,0,0,"Epidemic intelligence, national daily data",2020-08-31
Switzerland,CHE,CH,8544527,31,0,"Epidemic intelligence, national daily data",2020-06-14
Romania,ROU,RO,19414458,2466,59,"Epidemic intelligence, national daily data",2020-10-20
Bulgaria,BGR,BG,7000039,182,3,"Epidemic intelligence, national daily data",2020-10-04
Gibraltar,GIB,GI,33691,20,0,"Epidemic intelligence, national daily data",2020-03-28
Bosnia and Herzegovina,BIH,BA,3280815,0,0,"Epidemic intelligence, national daily data",2020-03-15
Montenegro,MNE,ME,622182,9,0,"Epidemic intelligence, national daily data",2020-03-29
Montenegro,MNE,ME,622182,90,2,"Epidemic intelligence, national daily data",2020-07-21
Ukraine,UKR,UA,43733759,856,17,"Epidemic intelligence, national daily data",2020-07-24
the Holy See/ Vatican City State,VAT,VA,809,0,0,"Epidemic intelligence, national daily data",2020-10-14
Portugal,PRT,PT,10276617,417,1,"Epidemic intelligence, national daily data",2020-06-19
Lithuania,LTU,LT,2794184,0,0,"Epidemic intelligence, national daily data",2020-01-18
Jersey,JEY,JE,107796,0,0,"Epidemic intelligence, national daily data",2020-02-12
Serbia,SRB,RS,6963764,258,8,"Epidemic intelligence, national daily data",2020-08-04
Luxembourg,LUX,LU,613894,0,0,"Epidemic intelligence, national daily data",2020-02-04
Moldova,MDA,MD,4033963,0,0,"Epidemic intelligence, national daily data",2020-01-06
Slovakia,SVK,SK,5450421,19,0,"Epidemic intelligence, national daily data",2020-07-16
Montenegro,MNE,ME,622182,12,2,"Epidemic intelligence, national daily data",2020-06-29
Faroes,,,48865,0,0,"Epidemic intelligence, national daily data",2020-08-28
Iceland,ISL,IS,356991,92,0,"Epidemic intelligence, national daily data",2020-10-21
Bosnia and Herzegovina,BIH,BA,3280815,344,12,"Epidemic intelligence, national daily data",2020-09-24
Jersey,JEY,JE,107796,1,0,"Epidemic intelligence, national daily data",2020-05-28
Iceland,ISL,IS,356991,5,0,"Epidemic intelligence, national daily data",2020-08-27
Armenia,ARM,AM,2963234,1836,20,"Epidemic intelligence, national daily data",2020-10-22
Kosovo,,,1798506,18,0,"Epidemic intelligence, national daily data",2020-05-15
Ukraine,UKR,UA,43733759,731,8,"Epidemic intelligence, national daily data",2020-07-20
Cyprus,CYP,CY,875899,0,0,"Epidemic intelligence, national daily data",2020-02-20
Estonia,EST,EE,1324820,20,0,"Epidemic intelligence, national daily data",2020-03-23
Russia,RUS,RU,145934460,3448,34,"Epidemic intelligence, national daily data",2020-04-17
Belgium,BEL,BE,11455519,0,0,"Epidemic intelligence, national daily data",2020-01-12
Hungary,HUN,HU,9772756,0,0,"Epidemic intelligence, national daily data",2020-06-04
Lithuania,LTU,LT,2794184,5,0,"Epidemic intelligence, national daily data",2020-06-15
San Marino,SMR,SM,34453,0,0,"Epidemic intelligence, national daily data",2020-02-07
Andorra,AND,AD,76177,0,0,"Epidemic intelligence, national daily data",2020-02-21
Cyprus,CYP,CY,875899,43,0,"Epidemic intelligence, national daily data",2020-10-20
Switzerland,CHE,CH,8544527,405,2,"Epidemic intelligence, national daily data",2020-09-11
Bulgaria,BGR,BG,7000039,37,2,"Epidemic intelligence, national daily data",2020-04-20
Georgia,GEO,GE,3989175,9,0,"Epidemic intelligence, national daily data",2020-06-11
Germany,DEU,DE,83019213,507,32,"Epidemic intelligence, national daily data",2020-06-05
Hungary,HUN,HU,9772756,60,12,"Epidemic intelligence, national daily data",2020-04-25
Hungary,HUN,HU,9772756,0,0,"Epidemic intelligence, national daily data",2020-01-24
Slovakia,SVK,SK,5450421,13,0,"Epidemic intelligence, national daily data",2020-04-12
Slovakia,SVK,SK,5450421,2,0,"Epidemic intelligence, national daily data",2020-06-09
Russia,RUS,RU,145934460,0,0,"Epidemic intelligence, national daily data",2020-01-23
Latvia,LVA,LV,1919968,0,0,"Epidemic intelligence, national daily data",2020-02-21
Cyprus,CYP,CY,875899,6,0,"Epidemic intelligence, national daily data",2020-07-26
Czechia,CZE,CZ,10649800,0,0,"Epidemic intelligence, national daily data",2020-01-18
Denmark,DNK,DK,5806081,31,0,"Epidemic intelligence, national daily data",2020-07-16
Spain,ESP,ES,46937060,10764,71,"Epidemic intelligence, national daily data",2020-09-10
Belgium,BEL,BE,11455519,322,1,"Epidemic intelligence, national daily data",2020-09-06
Cyprus,CYP,CY,875899,11,0,"Epidemic intelligence, national daily data",2020-08-09
Poland,POL,PL,37972812,605,24,"Epidemic intelligence, national daily data",2020-09-16
Bosnia and Herzegovina,BIH,BA,3280815,64,3,"Epidemic intelligence, national daily data",2020-07-07
Ireland,IRL,IE,4904240,21,0,"Epidemic intelligence, national daily data",2020-03-14
Andorra,AND,AD,76177,0,0,"Epidemic intelligence, national daily data",2020-07-29
Greece,GRC,EL,10724599,438,9,"Epidemic intelligence, national daily data",2020-10-19
Italy,ITA,IT,60359546,296,34,"Epidemic intelligence, national daily data",2020-06-26
Serbia,SRB,RS,6963764,0,0,"Epidemic intelligence, national daily data",2020-01-13
Austria,AUT,AT,8858775,21,0,"Epidemic intelligence, national daily data",2020-06-02
Luxembourg,LUX,LU,613894,0,0,"Epidemic intelligence, national daily data",2020-03-03
Ukraine,UKR,UA,43733759,564,21,"Epidemic intelligence, national daily data",2020-07-08
Ukraine,UKR,UA,43733759,2134,40,"Epidemic intelligence, national daily data",2020-08-21
Norway,NOR,NO,5328212,0,0,"Epidemic intelligence, national daily data",2020-04-18
Ukraine,UKR,UA,43733759,0,64,"Epidemic intelligence, national daily data",2020-10-02
Malta,MLT,MT,493559,0,0,"Epidemic intelligence, national daily data",2020-02-11
Denmark,DNK,DK,5806081,40,1,"Epidemic intelligence, national daily data",2020-07-24
Azerbaijan,AZE,AZ,10139175,0,0,"Epidemic intelligence, national daily data",2020-02-07
Malta,MLT,MT,493559,5,0,"Epidemic intelligence, national daily data",2020-03-27
Monaco,MCO,MC,33085,0,0,"Epidemic intelligence, national daily data",2020-08-16
Liechtenstein,LIE,LI,38378,1,0,"Epidemic intelligence, national daily data",2020-03-30
Finland,FIN,FI,5517919,51,9,"Epidemic intelligence, national daily data",2020-05-14
Andorra,AND,AD,76177,0,0,"Epidemic intelligence, national daily data",2020-02-16
Turkey,TUR,TR,82003882,963,15,"Epidemic intelligence, national daily data",2020-07-29
Spain,ESP,ES,46937060,31785,179,"Epidemic intelligence, national daily data",2020-09-28
Turkey,TUR,TR,82003882,1172,16,"Epidemic intelligence, national daily data",2020-08-09
Guernsey,GGY,GG,64468,0,0,"Epidemic intelligence, national daily data",2020-05-26
Armenia,ARM,AM,2963234,46,0,"Epidemic intelligence, national daily data",2020-04-12
Portugal,PRT,PT,10276617,186,4,"Epidemic intelligence, national daily data",2020-08-09
Russia,RUS,RU,145934460,11115,202,"Epidemic intelligence, national daily data",2020-10-08
Romania,ROU,RO,19414458,8,0,"Epidemic intelligence, national daily data",2020-03-11
Russia,RUS,RU,145934460,4870,90,"Epidemic intelligence, national daily data",2020-08-22
United Kingdom,GBR,UK,66647112,1356,130,"Epidemic intelligence, national daily data",2020-06-05
Austria,AUT,AT,8858775,51,0,"Epidemic intelligence, national daily data",2020-05-30
Belgium,BEL,BE,11455519,725,11,"Epidemic intelligence, national daily data",2020-08-19
Guernsey,GGY,GG,64468,0,0,"Epidemic intelligence, national daily data",2020-02-12
Luxembourg,LUX,LU,613894,152,6,"Epidemic intelligence, national daily data",2020-03-28
Belarus,BLR,BY,9449321,0,0,"Epidemic intelligence, national daily data",2020-02-05
Slovakia,SVK,SK,5450421,1,0,"Epidemic intelligence, national daily data",2020-06-23
Belgium,BEL,BE,11455519,3407,15,"Epidemic intelligence, national daily data",2020-10-02
Estonia,EST,EE,1324820,11,0,"Epidemic intelligence, national daily data",2020-03-13
the Holy See/ Vatican City State,VAT,VA,809,0,0,"Epidemic intelligence, national daily data",2020-07-03
Faroes,,,48865,0,0,"Epidemic intelligence, national daily data",2020-01-31
Albania,ALB,AL,2862427,281,3,"Epidemic intelligence, national daily data",2020-10-19
Romania,ROU,RO,19414458,1109,36,"Epidemic intelligence, national daily data",2020-09-14
Serbia,SRB,RS,6963764,71,1,"Epidemic intelligence, national daily data",2020-06-12
North Macedonia,MKD,MK,2077132,0,0,"Epidemic intelligence, national daily data",2020-03-15
San Marino,SMR,SM,34453,8,0,"Epidemic intelligence, national daily data",2020-10-22
Poland,POL,PL,37972812,0,0,"Epidemic intelligence, national daily data",2020-01-08
Belarus,BLR,BY,9449321,10,0,"Epidemic intelligence, national daily data",2020-03-19
Bosnia and Herzegovina,BIH,BA,3280815,1100,17,"Epidemic intelligence, national daily data",2020-10-20
Bulgaria,BGR,BG,7000039,82,3,"Epidemic intelligence, national daily data",2020-05-02
Isle of Man,,,85032,1,0,"Epidemic intelligence, national daily data",2020-05-13
Armenia,ARM,AM,2963234,48,2,"Epidemic intelligence, national daily data",2020-04-20
Austria,AUT,AT,8858775,594,0,"Epidemic intelligence, national daily data",2020-03-29
Andorra,AND,AD,76177,0,0,"Epidemic intelligence, national daily data",2020-02-12
Ukraine,UKR,UA,43733759,325,21,"Epidemic intelligence, national daily data",2020-05-19
Iceland,ISL,IS,356991,0,0,"Epidemic intelligence, national daily data",2020-07-06
Lithuania,LTU,LT,2794184,5,0,"Epidemic intelligence, national daily data",2020-06-28
Turkey,TUR,TR,82003882,1012,19,"Epidemic intelligence, national daily data",2020-07-13
France,FRA,FR,67012883,3325,66,"Epidemic intelligence, national daily data",2020-05-29
Cyprus,CYP,CY,875899,6,0,"Epidemic intelligence, national daily data",2020-09-16
Faroes,,,48865,1,0,"Epidemic intelligence, national daily data",2020-10-18
Gibraltar,GIB,GI,33691,0,0,"Epidemic intelligence, national daily data",2020-09-12
Serbia,SRB,RS,6963764,68,1,"Epidemic intelligence, national daily data",2020-09-21
North Macedonia,MKD,MK,2077132,0,0,"Epidemic intelligence, national daily data",2020-02-21
Spain,ESP,ES,46937060,502,0,"Epidemic intelligence, national daily data",2020-06-12
Andorra,AND,AD,76177,31,0,"Epidemic intelligence, national daily data",2020-03-25
Gibraltar,GIB,GI,33691,4,0,"Epidemic intelligence, national daily data",2020-10-05
Monaco,MCO,MC,33085,0,0,"Epidemic intelligence, national daily data",2020-03-10
Norway,NOR,NO,5328212,183,0,"Epidemic intelligence, national daily data",2020-10-17
Estonia,EST,EE,1324820,4,0,"Epidemic intelligence, national daily data",2020-07-28
Russia,RUS,RU,145934460,0,0,"Epidemic intelligence, national daily data",2020-03-10
Switzerland,CHE,CH,8544527,0,0,"Epidemic intelligence, national daily data",2020-01-18
Jersey,JEY,JE,107796,1,0,"Epidemic intelligence, national daily data",2020-07-03
the Holy See/ Vatican City State,VAT,VA,809,0,0,"Epidemic intelligence, national daily data",2020-09-25
Kosovo,,,1798506,39,1,"Epidemic intelligence, national daily data",2020-04-24
Armenia,ARM,AM,2963234,124,5,"Epidemic intelligence, national daily data",2020-08-31
Jersey,JEY,JE,107796,0,0,"Epidemic intelligence, national daily data",2020-07-27
Georgia,GEO,GE,3989175,12,0,"Epidemic intelligence, national daily data",2020-04-26
Azerbaijan,AZE,AZ,10139175,188,2,"Epidemic intelligence, national daily data",2020-08-30
Bulgaria,BGR,BG,7000039,204,16,"Epidemic intelligence, national daily data",2020-08-05
Monaco,MCO,MC,33085,0,0,"Epidemic intelligence, national daily data",2020-05-06
Poland,POL,PL,37972812,0,0,"Epidemic intelligence, national daily data",2020-01-28
Monaco,MCO,MC,33085,0,0,"Epidemic intelligence, national daily data",2020-05-07
Czechia,CZE,CZ,10649800,23,0,"Epidemic intelligence, national daily data",2020-03-11
Greece,GRC,EL,10724599,71,4,"Epidemic intelligence, national daily data",2020-03-27
Lithuania,LTU,LT,2794184,29,0,"Epidemic intelligence, national daily data",2020-08-30
Portugal,PRT,PT,10276617,121,3,"Epidemic intelligence, national daily data",2020-08-17
Spain,ESP,ES,46937060,75,0,"Epidemic intelligence, national daily data",2020-03-04
Faroes,,,48865,0,0,"Epidemic intelligence, national daily data",2020-07-09
Slovenia,SVN,SI,2080908,22,1,"Epidemic intelligence, national daily data",2020-03-18
Austria,AUT,AT,8858775,722,6,"Epidemic intelligence, national daily data",2020-09-30
Lithuania,LTU,LT,2794184,61,0,"Epidemic intelligence, national daily data",2020-09-19
Serbia,SRB,RS,6963764,372,7,"Epidemic intelligence, national daily data",2020-07-30
Moldova,MDA,MD,4033963,54,11,"Epidemic intelligence, national daily data",2020-05-26
Netherlands,NLD,NL,17282163,1316,132,"Epidemic intelligence, national daily data",2020-04-12
Azerbaijan,AZE,AZ,10139175,544,8,"Epidemic intelligence, national daily data",2020-06-30
Andorra,AND,AD,76177,0,0,"Epidemic intelligence, national daily data",2020-05-19
Malta,MLT,MT,493559,7,0,"Epidemic intelligence, national daily data",2020-05-12
France,FRA,FR,67012883,622,351,"Epidemic intelligence, national daily data",2020-05-15
Romania,ROU,RO,19414458,326,16,"Epidemic intelligence, national daily data",2020-07-02
Belarus,BLR,BY,9449321,119,4,"Epidemic intelligence, national daily data",2020-07-28
Cyprus,CYP,CY,875899,0,0,"Epidemic intelligence, national daily data",2020-10-12
Poland,POL,PL,37972812,193,3,"Epidemic intelligence, national daily data",2020-06-29
Albania,ALB,AL,2862427,7,0,"Epidemic intelligence, national daily data",2020-05-01
Georgia,GEO,GE,3989175,7,0,"Epidemic intelligence, national daily data",2020-07-04
Guernsey,GGY,GG,64468,0,0,"Epidemic intelligence, national daily data",2020-03-22
Bulgaria,BGR,BG,7000039,0,0,"Epidemic intelligence, national daily data",2020-01-15
Estonia,EST,EE,1324820,0,0,"Epidemic intelligence, national daily data",2020-01-02
Greece,GRC,EL,10724599,31,3,"Epidemic intelligence, national daily data",2020-03-21
Latvia,LVA,LV,1919968,1,0,"Epidemic intelligence, national daily data",2020-09-08
Estonia,EST,EE,1324820,6,0,"Epidemic intelligence, national daily data",2020-08-11
Bulgaria,BGR,BG,7000039,329,10,"Epidemic intelligence, national daily data",2020-08-09
Isle of Man,,,85032,0,0,"Epidemic intelligence, national daily data",2020-06-21
Italy,ITA,IT,60359546,137,30,"Epidemic intelligence, national daily data",2020-07-08
Ukraine,UKR,UA,43733759,0,0,"Epidemic intelligence, national daily data",2020-01-14
Faroes,,,48865,0,0,"Epidemic intelligence, national daily data",2020-02-23
Bosnia and Herzegovina,BIH,BA,3280815,0,0,"Epidemic intelligence, national daily data",2020-02-27
United Kingdom,GBR,UK,66647112,0,0,"Epidemic intelligence, national daily data",2020-01-06
Estonia,EST,EE,1324820,13,0,"Epidemic intelligence, national daily data",2020-08-01
Switzerland,CHE,CH,8544527,0,0,"Epidemic intelligence, national daily data",2020-01-22
Bosnia and Herzegovina,BIH,BA,3280815,24,0,"Epidemic intelligence, national daily data",2020-06-10
Iceland,ISL,IS,356991,86,0,"Epidemic intelligence, national daily data",2020-10-25
France,FRA,FR,67012883,6158,34,"Epidemic intelligence, national daily data",2020-09-15
Belgium,BEL,BE,11455519,524,265,"Epidemic intelligence, national daily data",2020-04-13
Luxembourg,LUX,LU,613894,37,0,"Epidemic intelligence, national daily data",2020-08-29
Spain,ESP,ES,46937060,3667,674,"Epidemic intelligence, national daily data",2020-04-06
Croatia,HRV,HR,4076246,0,0,"Epidemic intelligence, national daily data",2020-01-07
